movie_id,person_id,type,year
6966692,,BEST-PICTURE,2019
1727824,1785339,BEST-ACTOR,2019
5083738,1469236,BEST-ACTRESS,2019
6966692,0991810,BEST-SUPPORTING-ACTOR,2019
7125860,0005093,BEST-SUPPORTING-ACTRESS,2019
6155172,0190859,BEST-DIRECTOR,2019
5580390,,BEST-PICTURE,2018
4555426,0000198,BEST-ACTOR,2018
5027774,0000531,BEST-ACTRESS,2018
5027774,0005377,BEST-SUPPORTING-ACTOR,2018
5580036,0005049,BEST-SUPPORTING-ACTRESS,2018
5580390,0868219,BEST-DIRECTOR,2018
4975722,,BEST-PICTURE,2017
4034228,0000729,BEST-ACTOR,2017
3783958,1297015,BEST-ACTRESS,2017
4975722,0991810,BEST-SUPPORTING-ACTOR,2017
2671706,0205626,BEST-SUPPORTING-ACTRESS,2017
3783958,3227090,BEST-DIRECTOR,2017
1895587,,BEST-PICTURE,2016
1663202,0000138,BEST-ACTOR,2016
3170832,0488953,BEST-ACTRESS,2016
3682448,0753314,BEST-SUPPORTING-ACTOR,2016
0810819,2539953,BEST-SUPPORTING-ACTRESS,2016
1663202,0327944,BEST-DIRECTOR,2016
2562232,,BEST-PICTURE,2015
2980516,1519666,BEST-ACTOR,2015
3316960,0000194,BEST-ACTRESS,2015
2582802,0799777,BEST-SUPPORTING-ACTOR,2015
1065073,0000099,BEST-SUPPORTING-ACTRESS,2015
2562232,0327944,BEST-DIRECTOR,2015
2024544,,BEST-PICTURE,2014
0790636,0000190,BEST-ACTOR,2014
2334873,0000949,BEST-ACTRESS,2014
0790636,0001467,BEST-SUPPORTING-ACTOR,2014
2024544,2143282,BEST-SUPPORTING-ACTRESS,2014
1454468,0190859,BEST-DIRECTOR,2014
1024648,,BEST-PICTURE,2013
0443272,0000358,BEST-ACTOR,2013
1045658,2225369,BEST-ACTRESS,2013
1853728,0910607,BEST-SUPPORTING-ACTOR,2013
1707386,0004266,BEST-SUPPORTING-ACTRESS,2013
0454876,0000487,BEST-DIRECTOR,2013
1655442,,BEST-PICTURE,2012
1655442,0241121,BEST-ACTOR,2012
1007029,0000658,BEST-ACTRESS,2012
1532503,0001626,BEST-SUPPORTING-ACTOR,2012
1454029,0818055,BEST-SUPPORTING-ACTRESS,2012
1655442,0371890,BEST-DIRECTOR,2012
1504320,,BEST-PICTURE,2011
1504320,0000147,BEST-ACTOR,2011
0947798,0000204,BEST-ACTRESS,2011
0964517,0000288,BEST-SUPPORTING-ACTOR,2011
0964517,0502425,BEST-SUPPORTING-ACTRESS,2011
1504320,0393799,BEST-DIRECTOR,2011
0887912,,BEST-PICTURE,2010
1263670,0000313,BEST-ACTOR,2010
0878804,0000113,BEST-ACTRESS,2010
0361748,0910607,BEST-SUPPORTING-ACTOR,2010
0929632,0594898,BEST-SUPPORTING-ACTRESS,2010
0887912,0000941,BEST-DIRECTOR,2010
1010048,,BEST-PICTURE,2009
1013753,0000576,BEST-ACTOR,2009
0976051,0000701,BEST-ACTRESS,2009
0468569,0005132,BEST-SUPPORTING-ACTOR,2009
0497465,0004851,BEST-SUPPORTING-ACTRESS,2009
1010048,0000965,BEST-DIRECTOR,2009
0477348,,BEST-PICTURE,2008
0469494,0000358,BEST-ACTOR,2008
0450188,0182839,BEST-ACTRESS,2008
0477348,0000849,BEST-SUPPORTING-ACTOR,2008
0465538,0842770,BEST-SUPPORTING-ACTRESS,2008
0477348,0001053,BEST-DIRECTOR,2008
0407887,,BEST-PICTURE,2007
0455590,0001845,BEST-ACTOR,2007
0436697,0000545,BEST-ACTRESS,2007
0449059,0000273,BEST-SUPPORTING-ACTOR,2007
0443489,1617685,BEST-SUPPORTING-ACTRESS,2007
0407887,0000217,BEST-DIRECTOR,2007
0375679,,BEST-PICTURE,2006
0379725,0000450,BEST-ACTOR,2006
0358273,0000702,BEST-ACTRESS,2006
0365737,0000123,BEST-SUPPORTING-ACTOR,2006
0387131,0001838,BEST-SUPPORTING-ACTRESS,2006
0388795,0000487,BEST-DIRECTOR,2006
0405159,,BEST-PICTURE,2005
0350258,0004937,BEST-ACTOR,2005
0405159,0005476,BEST-ACTRESS,2005
0405159,0000151,BEST-SUPPORTING-ACTOR,2005
0338751,0000949,BEST-SUPPORTING-ACTRESS,2005
0405159,0000142,BEST-DIRECTOR,2005
0167260,,BEST-PICTURE,2004
0327056,0000576,BEST-ACTOR,2004
0340855,0000234,BEST-ACTRESS,2004
0327056,0000209,BEST-SUPPORTING-ACTOR,2004
0159365,0000250,BEST-SUPPORTING-ACTRESS,2004
0167260,0001392,BEST-DIRECTOR,2004
0299658,,BEST-PICTURE,2003
0253474,0004778,BEST-ACTOR,2003
0274558,0000173,BEST-ACTRESS,2003
0268126,0177933,BEST-SUPPORTING-ACTOR,2003
0299658,0001876,BEST-SUPPORTING-ACTRESS,2003
0253474,0000591,BEST-DIRECTOR,2003
0268978,,BEST-PICTURE,2002
0139654,0000243,BEST-ACTOR,2002
0285742,0000932,BEST-ACTRESS,2002
0280778,0000980,BEST-SUPPORTING-ACTOR,2002
0268978,0000124,BEST-SUPPORTING-ACTRESS,2002
0268978,0000165,BEST-DIRECTOR,2002
0172495,,BEST-PICTURE,2001
0172495,0000128,BEST-ACTOR,2001
0195685,0000210,BEST-ACTRESS,2001
0181865,0001125,BEST-SUPPORTING-ACTOR,2001
0183659,0001315,BEST-SUPPORTING-ACTRESS,2001
0181865,0001752,BEST-DIRECTOR,2001
0169547,,BEST-PICTURE,2000
0169547,0000228,BEST-ACTOR,2000
0171804,0005476,BEST-ACTRESS,2000
0124315,0000323,BEST-SUPPORTING-ACTOR,2000
