id,name,dob,pob
0000002,Lauren Bacall,1924-09-16,"New York, New York, USA"
0000004,John Belushi,1949-01-24,"Chicago, Illinois, USA"
0000006,Ingrid Bergman,1915-08-29,"Stockholm, Sweden"
0000007,Humphrey Bogart,1899-12-25,"New York, New York, USA"
0000008,Marlon Brando,1924-04-03,"Omaha, Nebraska, USA"
0000009,Richard Burton,1925-11-10,"Pontrhydyfen, Wales, UK"
0000010,James Cagney,1899-07-17,"Yonkers, New York, USA"
0000011,Gary Cooper,1901-05-07,"Helena, Montana, USA"
0000012,Bette Davis,1908-04-05,"Lowell, Massachusetts, USA"
0000014,Olivia de Havilland,1916-07-01,"Tokyo, Japan"
0000015,James Dean,1931-02-08,"Marion, Indiana, USA"
0000017,Marlene Dietrich,1901-12-27,"Schoneberg, Germany"
0000018,Kirk Douglas,1916-12-09,"Amsterdam, New York, USA"
0000020,Henry Fonda,1905-05-16,"Grand Island, Nebraska, USA"
0000021,Joan Fontaine,1917-10-22,"Tokyo, Japan"
0000022,Clark Gable,1901-02-01,"Cadiz, Ohio, USA"
0000024,John Gielgud,1904-04-14,"South Kensington, London, England, UK"
0000026,Cary Grant,1904-01-18,"Bristol, England, UK"
0000027,Alec Guinness,1914-04-02,"Marylebone, London, England, UK"
0000028,Rita Hayworth,1918-10-17,"Brooklyn, New York, USA"
0000030,Audrey Hepburn,1929-05-04,"Brussels, Belgium"
0000031,Katharine Hepburn,1907-05-12,"Hartford, Connecticut, USA"
0000032,Charlton Heston,1924-10-04,"Evanston, Illinois, USA"
0000033,Alfred Hitchcock,1899-08-13,"Leytonstone, London, England, UK"
0000034,William Holden,1918-04-17,"O'Fallon, Illinois, USA"
0000037,Gene Kelly,1912-08-23,"Pittsburgh, Pennsylvania, USA"
0000038,Grace Kelly,1929-11-12,"Philadelphia, Pennsylvania, USA"
0000039,Deborah Kerr,1921-09-30,"Helensburgh, Scotland, UK"
0000040,Stanley Kubrick,1928-07-26,"Bronx, New York, USA"
0000044,Burt Lancaster,1913-11-02,"New York, New York, USA"
0000046,Vivien Leigh,1913-11-05,"Darjeeling, West Bengal, British India. [now India]"
0000047,Sophia Loren,1934-09-20,"Pozzuoli, Italy"
0000053,Robert Mitchum,1917-08-06,"Bridgeport, Connecticut, USA"
0000056,Paul Newman,1925-01-26,"Shaker Heights, Ohio, USA"
0000057,David Niven,1909-03-01,"London, England, UK"
0000058,Maureen O'Hara,1920-08-17,"Ranelagh, County Dublin, Ireland (now Ranelagh, Dublin, Ireland)"
0000059,Laurence Olivier,1907-05-22,"Dorking, Surrey, England, UK"
0000060,Gregory Peck,1916-04-05,"La Jolla, California, USA"
0000061,Tyrone Power,1913-05-05,"Cincinnati, Ohio, USA"
0000063,Anthony Quinn,1915-04-21,"Chihuahua, Mexico"
0000064,Edward G. Robinson,1893-12-12,"Bucharest, Romania"
